Name,Brand,Family,Notes,Description
Bleu de Chanel,Chanel,Woody,Cedar Vetiver Sandalwood,Un parfum lemnos-aromatic, profund și misterios pentru lideri.
Coco Mademoiselle,Chanel,Floral,Orange Jasmine Rose,Esența unei femei libere și îndrăznețe. Oriental-proaspăt.
Chanel No 5,Chanel,Floral,Aldehydes Jasmine Neroli,Cel mai faimos parfum din lume. Un buchet floral atemporal.
Chance Eau Tendre,Chanel,Fruity,Quince Grapefruit Hyacinth,Un parfum floral-fructat, plin de tandrețe și poezie.
Allure Homme Sport,Chanel,Citrus,Orange Sea-Notes Cedar,O compoziție proaspătă și senzuală, pentru bărbatul activ.
Gabrielle,Chanel,Floral,Ylang-Ylang Jasmine Tuberose,Un parfum solar construit în jurul a patru flori albe.
Antaeus,Chanel,Leather,Labdanum Leather Sage,Un parfum puternic pentru un caracter complex.
Egoiste Platinum,Chanel,Woody,Lavender Rosemary Petitgrain,Pentru bărbatul extrovertit și provocator.
Sauvage,Dior,Aromatic,Bergamot Pepper Amberwood,O compoziție brută și nobilă inspirată de deșert.
J'adore,Dior,Floral,Ylang-Ylang Rose Jasmine,Un buchet grandios și feminin, simbol al luxului absolut.
Fahrenheit,Dior,Leather,Violet Leather Nutmeg,Un parfum revoluționar, cald și rece în același timp.
Miss Dior,Dior,Floral,Rose Peony Musk,Un imn al dragostei. Note proaspete și senzuale.
Dior Homme Intense,Dior,Woody,Iris Ambrette Cocoa,Iris, ambră și cacao. Un parfum sofisticat și pudrat.
Poison,Dior,Oriental,Plum Tuberose Coriander,Un parfum provocator și misterios, arma seducției supreme.
Joy,Dior,Floral,Bergamot Rose Musk,O odă adusă plăcerii și vieții, vibrant și plin de lumină.
Hypnotic Poison,Dior,Gourmand,Almond Vanilla Jasmine,Un parfum magnetic cu note de vanilie și migdale amare.
Black Orchid,Tom Ford,Oriental,Truffle Orchid Chocolate,Luxos și senzual, cu note de orhidee neagră și condimente.
Oud Wood,Tom Ford,Woody,Oud Sandalwood Amber,Lemn de oud rar și condimente exotice. Exclusivist.
