Style,Color,Texture,Recommended_Family
Sport,Pastel,Synthetics,Citrus
Bohemian,White,Silk,Woody
Bohemian,Pastel,Wool,Woody
Bohemian,Green,Leather,Leather
Evening,Red,Linen,Spicy
Casual,Blue,Denim,Aquatic
Bohemian,Yellow,Synthetics,Woody
Bohemian,Pastel,Linen,Woody
Casual,Pastel,Cotton,Fruity
Elegant,Pastel,Velvet,Fruity
Business,Gold,Linen,Citrus
Business,Blue,Cotton,Aquatic
Grunge,Pink,Velvet,Leather
Streetwear,Red,Silk,Aromatic
Sport,Black,Velvet,Citrus
Sport,Pink,Cotton,Citrus
Sport,Black,Synthetics,Citrus
Elegant,Gold,Leather,Leather
Business,Green,Wool,Chypre
Bohemian,Pink,Leather,Leather
Elegant,Yellow,Silk,Floral
Bohemian,Blue,Cotton,Woody
Streetwear,Yellow,Leather,Leather
Elegant,Gold,Wool,Woody
Sport,Red,Silk,Citrus
Sport,White,Leather,Citrus
Business,Red,Denim,Spicy
Evening,Red,Denim,Spicy
Bohemian,Silver,Cotton,Woody
Streetwear,Green,Wool,Aromatic
Evening,White,Wool,Aquatic
Sport,Pink,Leather,Citrus
Casual,Silver,Wool,Woody
Business,Black,Leather,Leather
Streetwear,Black,Velvet,Aromatic
Casual,Blue,Linen,Aquatic
Bohemian,Green,Wool,Woody
Evening,Gold,Leather,Leather
Streetwear,Black,Linen,Aromatic
Streetwear,Green,Cotton,Aromatic
Casual,Silver,Denim,Floral
Bohemian,Blue,Linen,Woody
Evening,White,Cotton,Aquatic
Evening,Green,Denim,Chypre
Business,Blue,Synthetics,Aquatic
Bohemian,Red,Linen,Woody
Bohemian,Pink,Linen,Woody
Elegant,Gold,Silk,Floral
Bohemian,Black,Linen,Woody
Streetwear,Blue,Synthetics,Aromatic
Casual,Green,Wool,Chypre
Grunge,Pink,Cotton,Leather
Business,Silver,Velvet,Gourmand
Sport,Black,Cotton,Citrus
Business,Green,Linen,Chypre
Casual,Red,Leather,Leather
Business,Black,Velvet,Gourmand
Casual,Yellow,Denim,Floral
Evening,Blue,Velvet,Aquatic
Casual,Pastel,Denim,Fruity
Sport,Pink,Velvet,Citrus
Casual,Pink,Synthetics,Fruity
Evening,Silver,Linen,Citrus
Evening,Pastel,Cotton,Fruity
Casual,Green,Cotton,Chypre
Streetwear,White,Velvet,Aromatic
Elegant,Pastel,Denim,Fruity
Bohemian,Pink,Velvet,Woody
Elegant,Red,Velvet,Spicy
Evening,Pastel,Synthetics,Fruity
Casual,Yellow,Silk,Floral
Business,Green,Linen,Chypre
Casual,Green,Velvet,Chypre
Business,Green,Cotton,Chypre
Business,Pink,Denim,Fruity
Casual,White,Synthetics,Aquatic
Grunge,Pink,Synthetics,Leather
Grunge,Silver,Cotton,Leather
Streetwear,Pastel,Velvet,Aromatic
Business,Red,Silk,Spicy
Sport,Green,Wool,Citrus
Grunge,Yellow,Velvet,Leather
Bohemian,Pink,Synthetics,Woody
Business,Silver,Denim,Floral
Business,Blue,Velvet,Aquatic
Grunge,Yellow,Silk,Leather
Bohemian,Green,Wool,Woody
Grunge,Blue,Linen,Leather
Casual,Pastel,Wool,Fruity
Grunge,Blue,Cotton,Leather
Sport,Pastel,Linen,Citrus
Evening,Yellow,Synthetics,Floral
Grunge,Gold,Synthetics,Leather
Casual,Pastel,Leather,Leather
Casual,Gold,Denim,Floral
Grunge,Silver,Silk,Leather
Elegant,Pastel,Velvet,Fruity
Business,Pink,Denim,Fruity
Business,Blue,Wool,Aquatic
Casual,Yellow,Wool,Woody
Grunge,Gold,Silk,Leather
Evening,Black,Leather,Leather
Elegant,Silver,Velvet,Gourmand
Business,White,Linen,Aquatic
Grunge,Red,Silk,Leather
Business,Gold,Leather,Leather
Evening,Black,Silk,Oriental
Business,Red,Linen,Spicy
Elegant,White,Denim,Aquatic
Business,Yellow,Linen,Citrus
Bohemian,Black,Synthetics,Woody
Sport,Red,Denim,Citrus
Sport,Green,Leather,Citrus
Bohemian,White,Cotton,Woody
Casual,White,Synthetics,Aquatic
Streetwear,Red,Silk,Aromatic
Elegant,Gold,Silk,Floral
Streetwear,Blue,Denim,Aromatic
Grunge,Silver,Silk,Leather
Evening,Blue,Synthetics,Aquatic
Casual,Blue,Denim,Aquatic
Elegant,White,Leather,Leather
Elegant,White,Wool,Aquatic
Grunge,Blue,Leather,Leather
Grunge,Gold,Velvet,Leather
Bohemian,Red,Wool,Woody
Business,Yellow,Linen,Citrus
Bohemian,Green,Synthetics,Woody
Casual,Blue,Synthetics,Aquatic
Evening,Black,Linen,Oriental
Sport,Gold,Denim,Citrus
Bohemian,Yellow,Velvet,Woody
Bohemian,Green,Wool,Woody
Business,Green,Linen,Chypre
Bohemian,Yellow,Denim,Woody
Evening,White,Velvet,Aquatic
Business,Red,Synthetics,Spicy
Business,Red,Linen,Spicy
Grunge,Green,Wool,Leather
Casual,Blue,Denim,Aquatic
Evening,Pink,Leather,Leather
Bohemian,Silver,Linen,Woody
Sport,Red,Leather,Citrus
Evening,Pastel,Linen,Fruity
Grunge,Pink,Velvet,Leather
Evening,Blue,Synthetics,Aquatic
Streetwear,Red,Cotton,Aromatic
Evening,Black,Silk,Oriental
Elegant,Blue,Linen,Aquatic
Grunge,Gold,Wool,Leather
Bohemian,Gold,Wool,Woody
Business,Pink,Cotton,Fruity
Streetwear,Black,Linen,Aromatic
Sport,Yellow,Linen,Citrus
Casual,White,Leather,Leather
Elegant,Pink,Denim,Fruity
Sport,Blue,Linen,Citrus
Sport,Green,Synthetics,Citrus
Elegant,Red,Synthetics,Spicy
Evening,Silver,Denim,Floral
Casual,Green,Velvet,Chypre
Bohemian,Pastel,Cotton,Woody
Bohemian,Pink,Linen,Woody
Business,White,Cotton,Aquatic
Business,Pink,Leather,Leather
Casual,Red,Wool,Spicy
